player,position,team,club,championship
Viktor Claesson,MF,Suède,Krasnodar,Russian Premier League
Pontus Jansson,DF,Suède,Leeds utd,Premier League
Marcus Rohdén,MF,Suède,Crotone,Serie A
Ola Toivonen,FW,Suède,Toulouse,Ligue 1
Jimmy Durmaz,MF,Suède,Toulouse,Ligue 1
Isaac Kiese Thelin,FW,Suède,Waasland-Beveren,Jupiler Pro League
Kristoffer Nordfeldt,GK,Suède,Swansea City,Championship
Thibaut Courtois,GK,Belgique,Chelsea,Premier League
Toby Alderweireld,DF,Belgique,Tottenham,Premier League
Thomas Vermaelen,DF,Belgique,Barcelona,Liga
Vincent Kompany,DF,Belgique,Manchester City,Premier League
Jan Vertonghen,DF,Belgique,Tottenham,Premier League
Axel Witsel,MF,Belgique,Tianjin Quanjian,Chinese Super League
Kevin De Bruyne,MF,Belgique,Manchester City,Premier League
Marouane Fellaini,MF,Belgique,Manchester Utd,Premier League
Romelu Lukaku,FW,Belgique,Manchester Utd,Premier League
Eden Hazard (captain),FW,Belgique,Chelsea,Premier League
Yannick Carrasco,MF,Belgique,Dalian Yifang,Chinese Super League
Simon Mignolet,GK,Belgique,Liverpool,Premier League
Koen Casteels,GK,Belgique,VfL Wolfsburg,Bundesliga
Dries Mertens,FW,Belgique,Naples,Serie A
Thomas Meunier,DF,Belgique,Paris S-G,Ligue 1
Thorgan Hazard,MF,Belgique,Borussia Mönchengladbach,Bundesliga
Youri Tielemans,MF,Belgique,Monaco,Ligue 1
Adnan Januzaj,FW,Belgique,Real Sociedad,Liga
Mousa Dembélé,MF,Belgique,Tottenham,Premier League
Dedryck Boyata,DF,Belgique,Celtic,Scottish Premiership
Michy Batshuayi,FW,Belgique,Dortmund,Bundesliga
Nacer Chadli,MF,Belgique,West Bromwich Albion,Premier League
Leander Dendoncker,DF,Belgique,Anderlecht,Jupiler Pro League
Jordan Pickford,GK,Royaume-Uni,Everton,Premier League
Kyle Walker,DF,Royaume-Uni,Manchester City,Premier League
Danny Rose,DF,Royaume-Uni,Tottenham,Premier League
Eric Dier,MF,Royaume-Uni,Tottenham,Premier League
John Stones,DF,Royaume-Uni,Manchester City,Premier League
Harry Maguire,DF,Royaume-Uni,Leicester City,Premier League
Jesse Lingard,MF,Royaume-Uni,Manchester Utd,Premier League
Jordan Henderson,MF,Royaume-Uni,Liverpool,Premier League
Harry Kane (captain),FW,Royaume-Uni,Tottenham,Premier League
Raheem Sterling,FW,Royaume-Uni,Manchester City,Premier League
Jamie Vardy,FW,Royaume-Uni,Leicester City,Premier League
Kieran Trippier,DF,Royaume-Uni,Tottenham,Premier League
Jack Butland,GK,Royaume-Uni,Stoke City,Championship
Danny Welbeck,FW,Royaume-Uni,Arsenal,Premier League
Gary Cahill,DF,Royaume-Uni,Chelsea,Premier League
Phil Jones,DF,Royaume-Uni,Manchester Utd,Premier League
Fabian Delph,DF,Royaume-Uni,Manchester City,Premier League
Ashley Young,DF,Royaume-Uni,Manchester Utd,Premier League
Marcus Rashford,FW,Royaume-Uni,Manchester Utd,Premier League
Dele Alli,MF,Royaume-Uni,Tottenham,Premier League
Ruben Loftus-Cheek,MF,Royaume-Uni,Crystal Palace,Premier League
Trent Alexander-Arnold,DF,Royaume-Uni,Liverpool,Premier League
Nick Pope,GK,Royaume-Uni,Burnley,Premier League
