Classement;Pays
1;France
2;Croatia
3;Belgium
4;England
5;Uruguay
6;Brazil
7;Sweden
8;Russia
9;Colombia
10;Spain
11;Denmark
12;Mexico
13;Portugal
14;Switzerland
15;Japan
16;Argentina
17;Senegal
18;IR Iran
19;Korea Republic
20;Peru
21;Nigeria
22;Germany
23;Serbia
24;Tunisia
25;Poland
26;Saudi Arabia
27;Morocco
28;Iceland
29;Costa Rica
30;Australia
31;Egypt
32;Panama
