player,position,club,championship
Yuto Nagatomo,MF,FC Tokyo,
Zakaria Aboukhlal,FW,Toulouse,
Álvaro Morata,FW,Atlético Madrid,
Álvaro Zamora,MF,Deportivo Saprissa,
Ángel Correa,MF,Atlético Madrid,
Ángel Di María,MF,Juventus,
Ángelo Preciado,DF,Genk,
Éder Militão,DF,Real Madrid,Liga
Óscar Duarte,DF,Al-Wehda,
İlkay Gündoğan,MF,Manchester City,Premier League
