player,position,team,club,championship
Marcus Rashford,FW,England,Manchester Utd,Premier League
Marcus Thuram,FW,France,M'Gladbach,
Mario Pašalić,FW,Croatia,Atalanta,
Marko Livaja,FW,Croatia,Hajduk Split,
Marquinhos,DF,Brazil,Paris S-G,Ligue 1
Marten de Roon,MF,Netherlands,Atalanta,
Martinelli,FW,Brazil,Arsenal,Premier League
Martinelli,FW,Brazil,Arsenal,Primera División
Mason Mount,MF,England,Chelsea,Premier League
Mateo Kovačić,MF,Croatia,Chelsea,Premier League
Matheus Nunes,MF,Portugal,Wolves,
Matthijs de Ligt,DF,Netherlands,Bayern Munich,Bundesliga
Mattéo Guendouzi,FW,France,Marseille,
Memphis,FW,Netherlands,Barcelona,Liga
Mislav Oršić,FW,Croatia,Dinamo Zagreb,Prva Liga
Munir,GK,Morocco,Al-Wehda,
Nahuel Molina,DF,Argentina,Atlético Madrid,Liga
Nathan Aké,DF,Netherlands,Manchester City,Premier League
Nayef Aguerd,DF,Morocco,West Ham,Premier League
Neymar,MF,Brazil,Paris S-G,Ligue 1
Nicolás Otamendi,DF,Argentina,Benfica,Liga Portugal Bwin
Nicolás Tagliafico,DF,Argentina,Lyon,
Nikola Vlašić,FW,Croatia,Torino,Serie A
Noa Lang,MF,Netherlands,Club Brugge,
Noussair Mazraoui,DF,Morocco,Bayern Munich,Bundesliga
Nuno Mendes,DF,Portugal,Paris S-G,Ligue 1
Olivier Giroud,FW,France,Milan,Serie A
Otávio,MF,Portugal,Porto,Liga Portugal Bwin
Ousmane Dembélé,FW,France,Barcelona,Liga
Papu Gómez,MF,Argentina,Sevilla,Liga
Paulo Dybala,FW,Argentina,Roma,
Pedro,FW,Brazil,Flamengo,Brasileiro Serie A
Pepe,DF,Portugal,Porto,Liga Portugal Bwin
Phil Foden,FW,England,Manchester City,Premier League
Rafael Leão,FW,Portugal,Milan,Serie A
Raheem Sterling,FW,England,Chelsea,Premier League
Randal Kolo Muani,FW,France,Eint Frankfurt,Bundesliga
Raphaël Guerreiro,DF,Portugal,Dortmund,Bundesliga
Raphaël Varane,DF,France,Manchester Utd,Premier League
Raphinha,FW,Brazil,Barcelona,Liga
Ricardo Horta,FW,Portugal,Braga,Liga Portugal Bwin
