player,position,team,club,championship
Abdelhamid Sabiri,MF,Maroc,Sampdoria,Serie A
Abderrazak Hamdallah,FW,Maroc,Al-Ittihad,Championnat d'Arabie saoudite
Abdessamad Ezzalzouli,FW,Maroc,Osasuna,Liga
Achraf Dari,DF,Maroc,Brest,Ligue 1
Achraf Hakimi,DF,Maroc,Paris S-G,Ligue 1
Adrien Rabiot,MF,France,Juventus,Serie A
Alex Sandro,DF,Brésil,Juventus,Serie A
Alex Telles,DF,Brésil,Sevilla,Liga
Alexis Mac Allister,MF,Argentine,Brighton,Premier League
Alisson,GK,Brésil,Liverpool,Premier League
Anass Zaroury,FW,Maroc,Burnley,Premier League
Andries Noppert,GK,Pays-Bas,Heerenveen,Eredivisie
André Silva,FW,Portugal,RB Leipzig,Bundesliga
Antoine Griezmann,MF,France,Atlético Madrid,Liga
Antony,FW,Brésil,Manchester Utd,Premier League
António Silva,DF,Portugal,Benfica,Liga Portugal Bwin
Aurélien Tchouaméni,MF,France,Real Madrid,Liga
Axel Disasi,DF,France,Monaco,Ligue 1
Azzedine Ounahi,MF,Maroc,Angers,Ligue 1
Badr Banoun,DF,Maroc,Qatar SC,Championnat d'Arabie saoudite
Benjamin Pavard,DF,France,Bayern Munich,Bundesliga
Bernardo Silva,MF,Portugal,Manchester City,Premier League
Bilal El Khannous,MF,Maroc,Genk,Jupiler Pro League
Bruno Fernandes,FW,Portugal,Manchester Utd,Premier League
Bruno Guimarães,MF,Brésil,Newcastle Utd,Premier League
Bukayo Saka,FW,Angleterre,Arsenal,Premier League
Callum Wilson,FW,Angleterre,Newcastle Utd,Premier League
Casemiro,MF,Brésil,Manchester Utd,Premier League
Cody Gakpo,FW,Pays-Bas,PSV Eindhoven,Eredivisie
Cristian Romero,DF,Argentine,Tottenham,Premier League
Cristiano Ronaldo,FW,Portugal,Manchester Utd,Premier League
Daley Blind,DF,Pays-Bas,Ajax,Eredivisie
Dani Alves,DF,Brésil,UNAM,Championnat du Mexique
Danilo,DF,Brésil,Juventus,Serie A
Danilo Pereira,DF,Portugal,Paris S-G,Ligue 1
Davy Klaassen,MF,Pays-Bas,Ajax,Eredivisie
Dayot Upamecano,DF,France,Bayern Munich,Bundesliga
Declan Rice,MF,Angleterre,West Ham,Premier League
Denzel Dumfries,DF,Pays-Bas,Inter,Serie A
Diogo Costa,GK,Portugal,Porto,Liga Portugal Bwin
Diogo Dalot,DF,Portugal,Manchester Utd,Premier League
Ederson,GK,Brésil,Manchester City,Premier League
Eduardo Camavinga,DF,France,Real Madrid,Liga
Emiliano Martínez,GK,Argentine,Aston Villa,Premier League
Enzo Fernández,MF,Argentine,Benfica,Liga Portugal Bwin
Eric Dier,DF,Angleterre,Tottenham,Premier League
Everton Ribeiro,MF,Brésil,Flamengo,Brasileiro Serie A
Exequiel Palacios,MF,Argentine,Leverkusen,Bundesliga
Fabinho,MF,Brésil,Liverpool,Premier League
Fred,MF,Brésil,Manchester Utd,Premier League
Frenkie de Jong,MF,Pays-Bas,Barcelona,Liga
Gabriel Jesus,FW,Brésil,Arsenal,Premier League
Germán Pezzella,DF,Argentine,Betis,Liga
Gleison Bremer,DF,Brésil,Juventus,Serie A
Gonzalo Montiel,DF,Argentine,Sevilla,Liga
Gonçalo Ramos,FW,Portugal,Benfica,Liga Portugal Bwin
Guido Rodríguez,MF,Argentine,Betis,Liga
Hakim Ziyech,FW,Maroc,Chelsea,Premier League
Harry Kane,FW,Angleterre,Tottenham,Premier League
Harry Maguire,DF,Angleterre,Manchester Utd,Premier League
Hugo Lloris,GK,France,Tottenham,Premier League
Ibrahima Konaté,DF,France,Liverpool,Premier League
Ilias Chair,MF,Maroc,QPR,EFL Championship
Jack Grealish,FW,Angleterre,Manchester City,Premier League
Jawad El Yamiq,DF,Maroc,Valladolid,Liga
John Stones,DF,Angleterre,Manchester City,Premier League
Jordan Henderson,MF,Angleterre,Liverpool,Premier League
Jordan Pickford,GK,Angleterre,Everton,Premier League
Jordan Veretout,MF,France,Marseille,Ligue 1
João Cancelo,DF,Portugal,Manchester City,Premier League
João Félix,FW,Portugal,Atlético Madrid,Liga
João Mário,FW,Portugal,Benfica,Liga Portugal Bwin
João Palhinha,MF,Portugal,Fulham,Premier League
Juan Foyth,DF,Argentine,Villarreal,Liga
Jude Bellingham,MF,Angleterre,Dortmund,Bundesliga
Jules Koundé,DF,France,Barcelona,Liga
Julián Álvarez,FW,Argentine,Manchester City,Premier League
Jurriën Timber,DF,Pays-Bas,Ajax,Eredivisie
Kalvin Phillips,MF,Angleterre,Manchester City,Premier League
Kenneth Taylor,MF,Pays-Bas,Ajax,Eredivisie
Kieran Trippier,DF,Angleterre,Newcastle Utd,Premier League
Kingsley Coman,FW,France,Bayern Munich,Bundesliga
Kyle Walker,DF,Angleterre,Manchester City,Premier League
Kylian Mbappé,FW,France,Paris S-G,Ligue 1
