championship;players_count
Liga;783
Premier League;804
Serie A;839
Bundesliga;649
Ligue 1;777
Premier-Liga;605
Liga Portugal Bwin;697
Jupiler Pro League;655
Brasileiro Serie A;1082
Süper Lig;821
Austrian Bundesliga;417
Eredivisie;668
Scottish Premiership;499
Primera División;568
EFL Championship;972
Liga MX;740
Major League Soccer;909
Chinese Super League;801
Ukrainian Premier League;546
Danish Superliga;450
UAE Pro League;506
Allsvenskan;426
Botola Pro1;509
Championnat d'Arabie saoudite;509
Prva Liga;275
Série B;827
